slot,kind,card_id,name,rarity,mint_date,profile_url,recto_file,verso_file,original_file
23,released,PS-0023,Sprocket Splash,COMMON,2026-08-19,https://www.pixelslime.cloud/slime/23,023-PS-0023-Sprocket-Splash-recto.png,023-PS-0023-Sprocket-Splash-verso.png,023-PS-0023-Sprocket-Splash-original.png
24,released,PS-0024,Gritgasket,RARE,2026-08-20,https://www.pixelslime.cloud/slime/24,024-PS-0024-Gritgasket-recto.png,024-PS-0024-Gritgasket-verso.png,024-PS-0024-Gritgasket-original.png
25,released,PS-0025,Drizzlemuck,COMMON,2026-08-21,https://www.pixelslime.cloud/slime/25,025-PS-0025-Drizzlemuck-recto.png,025-PS-0025-Drizzlemuck-verso.png,025-PS-0025-Drizzlemuck-original.png
26,released,PS-0026,Starpool Chime,COMMON,2026-08-22,https://www.pixelslime.cloud/slime/26,026-PS-0026-Starpool-Chime-recto.png,026-PS-0026-Starpool-Chime-verso.png,026-PS-0026-Starpool-Chime-original.png
27,released,PS-0027,Lumenloaf,UNCOMMON,2026-08-23,https://www.pixelslime.cloud/slime/27,027-PS-0027-Lumenloaf-recto.png,027-PS-0027-Lumenloaf-verso.png,027-PS-0027-Lumenloaf-original.png
28,released,PS-0028,Quillipop,UNCOMMON,2026-08-24,https://www.pixelslime.cloud/slime/28,028-PS-0028-Quillipop-recto.png,028-PS-0028-Quillipop-verso.png,028-PS-0028-Quillipop-original.png
29,released,PS-0029,Moonmurmur,UNCOMMON,2026-08-25,https://www.pixelslime.cloud/slime/29,029-PS-0029-Moonmurmur-recto.png,029-PS-0029-Moonmurmur-verso.png,029-PS-0029-Moonmurmur-original.png
30,released,PS-0030,Fernyawn,UNCOMMON,2026-08-26,https://www.pixelslime.cloud/slime/30,030-PS-0030-Fernyawn-recto.png,030-PS-0030-Fernyawn-verso.png,030-PS-0030-Fernyawn-original.png
31,released,PS-0031,Dreamcade Drift,UNCOMMON,2026-08-27,https://www.pixelslime.cloud/slime/31,031-PS-0031-Dreamcade-Drift-recto.png,031-PS-0031-Dreamcade-Drift-verso.png,031-PS-0031-Dreamcade-Drift-original.png
32,released,PS-0032,Joyzap Jello,UNCOMMON,2026-08-28,https://www.pixelslime.cloud/slime/32,032-PS-0032-Joyzap-Jello-recto.png,032-PS-0032-Joyzap-Jello-verso.png,032-PS-0032-Joyzap-Jello-original.png
33,released,PS-0033,Sugarsprig,COMMON,2026-08-29,https://www.pixelslime.cloud/slime/33,033-PS-0033-Sugarsprig-recto.png,033-PS-0033-Sugarsprig-verso.png,033-PS-0033-Sugarsprig-original.png
34,bonus,BONUS-01,First Blooms,EPIC,2026-08-29,https://www.pixelslime.cloud/dex,034-BONUS-01-First-Blooms-recto.png,034-BONUS-01-First-Blooms-verso.png,
35,bonus,BONUS-02,Rarity Houses,LEGENDARY,2026-08-29,https://www.pixelslime.cloud/lab,035-BONUS-02-Rarity-Houses-recto.png,035-BONUS-02-Rarity-Houses-verso.png,
36,bonus,BONUS-03,Verify Your Slime,RARE,2026-08-29,https://www.pixelslime.cloud,036-BONUS-03-Verify-Your-Slime-recto.png,036-BONUS-03-Verify-Your-Slime-verso.png,
